Date,Symbol,Type,Strike,Entry Time,Exit Time,Entry Price,Exit Price,PnL,PnL %,Exit Reason
2026-02-10,NIFTY 25950 CE 10 FEB 26,CE,25950,12:08:08,12:09:15,34.90,32.55,-2.35,-6.73%,STOP_LOSS
2026-02-10,NIFTY 25950 CE 10 FEB 26,CE,25950,12:24:35,12:51:46,32.80,53.00,20.20,61.59%,TARGET_HIT
2026-02-10,NIFTY 25950 CE 10 FEB 26,CE,25950,14:53:11,14:57:59,7.60,6.50,-1.10,-14.47%,STOP_LOSS
2026-02-11,NIFTY 25950 PE 17 FEB 26,PE,25950,09:38:16,09:53:58,111.85,108.20,-3.65,-3.26%,STOP_LOSS
2026-02-11,NIFTY 25950 PE 17 FEB 26,PE,25950,10:00:08,11:01:18,115.95,103.80,-12.15,-10.48%,STOP_LOSS
2026-02-11,NIFTY 25950 PE 17 FEB 26,PE,25950,11:12:06,11:16:37,112.00,99.80,-12.20,-10.89%,STOP_LOSS
2026-02-11,NIFTY 25950 PE 17 FEB 26,PE,25950,12:18:10,12:42:49,110.35,131.00,20.65,18.71%,TARGET_HIT
2026-02-11,NIFTY 25950 PE 17 FEB 26,PE,25950,12:59:01,13:07:07,116.20,116.10,-0.10,-0.09%,STOP_LOSS
2026-02-11,NIFTY 25950 PE 17 FEB 26,PE,25950,13:28:40,13:42:39,108.45,97.60,-10.85,-10.00%,STOP_LOSS
2026-02-12,NIFTY 25850 PE 17 FEB 26,PE,25850,13:13:03,13:18:46,102.55,90.20,-12.35,-12.04%,STOP_LOSS
2026-02-12,NIFTY 25850 PE 17 FEB 26,PE,25850,13:48:50,14:22:40,99.00,99.15,0.15,0.15%,STOP_LOSS
2026-02-13,NIFTY 25550 PE 17 FEB 26,PE,25550,09:47:15,09:52:14,91.90,91.50,-0.40,-0.44%,STOP_LOSS
2026-02-13,NIFTY 25550 PE 17 FEB 26,PE,25550,09:54:50,10:01:43,91.30,91.60,0.30,0.33%,STOP_LOSS
2026-02-13,NIFTY 25550 PE 17 FEB 26,PE,25550,10:50:04,10:55:51,89.65,83.25,-6.40,-7.14%,STOP_LOSS
2026-02-13,NIFTY 25550 PE 17 FEB 26,PE,25550,11:00:29,11:14:49,88.80,88.50,-0.30,-0.34%,STOP_LOSS
2026-02-13,NIFTY 25550 PE 17 FEB 26,PE,25550,11:57:29,12:00:23,89.80,84.25,-5.55,-6.18%,STOP_LOSS
2026-02-13,NIFTY 25550 PE 17 FEB 26,PE,25550,12:01:02,12:06:58,86.35,81.00,-5.35,-6.20%,STOP_LOSS
2026-02-13,NIFTY 25550 PE 17 FEB 26,PE,25550,12:53:34,13:03:31,84.95,95.40,10.45,12.30%,TARGET_HIT
2026-02-13,NIFTY 25500 PE 17 FEB 26,PE,25500,14:35:02,14:38:51,86.20,90.35,4.15,4.81%,STOP_LOSS
2026-02-20,NIFTY 25650 CE 24 FEB 26,CE,25650,12:24:51,12:27:24,142.40,145.65,3.25,2.28%,STOP_LOSS
2026-02-24,NIFTY 25400 PE 24 FEB 26,PE,25400,15:09:43,15:10:10,1.60,1.65,0.05,3.12%,STOP_LOSS
2026-02-25,NIFTY 25600 CE 02 MAR 26,CE,25600,10:00:53,10:17:54,165.25,193.10,27.85,16.85%,STOP_LOSS
2026-02-25,NIFTY 25600 CE 02 MAR 26,CE,25600,10:00:57,10:18:41,166.15,192.25,26.10,15.71%,STOP_LOSS
2026-02-25,NIFTY 25600 CE 02 MAR 26,CE,25600,10:00:55,10:19:05,165.55,189.10,23.55,14.23%,STOP_LOSS
2026-02-25,NIFTY 25450 PE 02 MAR 26,PE,25450,14:25:25,14:54:30,128.45,138.50,10.05,7.82%,STOP_LOSS
2026-02-26,NIFTY 25450 PE 02 MAR 26,PE,25450,11:41:13,11:48:04,103.95,106.80,2.85,2.74%,STOP_LOSS
2026-02-26,NIFTY 25450 PE 02 MAR 26,PE,25450,13:14:20,13:18:37,127.45,138.60,11.15,8.75%,STOP_LOSS
2026-02-26,NIFTY 25500 PE 02 MAR 26,PE,25500,15:14:22,15:15:03,119.35,118.10,-1.25,-1.05%,MARKET_CLOSE
2026-02-27,NIFTY 25300 PE 02 MAR 26,PE,25300,12:21:24,12:25:16,108.30,114.30,6.00,5.54%,STOP_LOSS
